Measurement,Filename,Mode,Date_DDMMYY,SensorID,Channel,SensorLocation_m,SetAmplitude_V,SetFrequency_Hz,MeasuredFrequency_FFT_Hz,MeasuredAmplitude_m,UncertaintyAmplitude_m,UncertaintyFrequency_Hz,Cam_Amplitude_PT_m,Cam_Uncertainty_PT_m,Cam_Amplitude_Envelope_m,Cam_Uncertainty_Envelope_m,Cam_DriftRatio,ReferenceAmplitude_m,NormalisedAmplitude,Final_amp_error_m,Final_freq_error_Hz
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a0p416_f1p67.csv,HIGH,130526,2,2,3,0.416,1.67,1.6499882143699,0.000107368269472755,6.61725742726318e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00135824299128484,0.0790493822988101,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a0p71_f1p67.csv,HIGH,130526,2,2,3,0.71,1.67,1.67141663273834,0.000118425351984732,4.73679366077022e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00238912638672816,0.0495684751725974,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a10_f0p71.csv,HIGH,130526,2,2,3,10,0.71,0.714280612281341,0.00436114332691781,2.72388903434794e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a10_f1p67.csv,HIGH,130526,2,2,3,10,1.67,1.66427382661552,0.00183252346630098,8.26820010537937e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a1p006_f1p67.csv,HIGH,130526,2,2,3,1.006,1.67,1.67141663273834,0.000156924837269004,7.31710558381867e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00381246401192932,0.0411610015931904,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a1p04_f1p25.csv,HIGH,130526,2,2,3,1.04,1.25,1.25713387761516,6.81893618453727e-05,6.78397526614505e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00101834857606119,0.066960727837533,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a1p3_f1p67.csv,HIGH,130526,2,2,3,1.3,1.67,1.57856015314176,4.13408318238583e-05,1.91362310251734e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00453322725922955,0.00911951452239447,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a1p55_f1p25.csv,HIGH,130526,2,2,3,1.55,1.25,1.24999107149235,0.000219299588321076,1.42248240096187e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00159807722133529,0.137227153602651,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a1p59_f1p67.csv,HIGH,130526,2,2,3,1.59,1.67,1.66427382661552,0.000229048295095589,9.54433090118105e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00591657288719187,0.0387130015065699,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a1p69_f1.csv,HIGH,130526,2,2,3,1.69,1,0.999992857193877,0.000196081326404957,1.64207165454886e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00273078872849863,0.0718039167067901,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a1p89_f1p67.csv,HIGH,130526,2,2,3,1.89,1.67,1.67141663273834,0.000246094275718328,9.22520524756874e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00657995613241424,0.0374005951963747,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a2p06_f1p25.csv,HIGH,130526,2,2,3,2.06,1.25,1.24999107149235,0.000243057459468899,1.2379919642513e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00226506313858566,0.107307145363139,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a2p32_f0p83.csv,HIGH,130526,2,2,3,2.32,0.83,0.828565510246355,0.0001508914583754,4.29999187212566e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00328947110065299,0.0458710393733043,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a2p42_f1.csv,HIGH,130526,2,2,3,2.42,1,0.999992857193877,0.000271033703475425,5.09543094240182e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00393438848917032,0.0688883937672817,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a2p56_f1p25.csv,HIGH,130526,2,2,3,2.56,1.25,1.25713387761516,0.000685665332400864,3.80126859075234e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00298848512077096,0.229435752460423,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a2p93_f0p71.csv,HIGH,130526,2,2,3,2.93,0.71,0.707137806158527,0.000251066435670351,2.77266477370691e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00454587127375802,0.05522955238959,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a3p07_f1p25.csv,HIGH,130526,2,2,3,3.07,1.25,1.24999107149235,0.000651064423834046,3.85706142867552e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00378251862558983,0.172124578430205,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a3p14_f1.csv,HIGH,130526,2,2,3,3.14,1,0.999992857193877,0.000775998797596736,2.68078910899602e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00515972721327789,0.150395314620471,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a3p25_f0p83.csv,HIGH,130526,2,2,3,3.25,0.83,0.828565510246355,0.000294846972631379,8.03962279963905e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00462525925587112,0.0637471234195385,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor2_x3m_130526_a3p57_f1p25.csv,HIGH,130526,2,2,3,3.57,1.25,1.24999107149235,0.00101042847892654,4.45197267795693e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00463454677346536,0.218020990684925,0.000711785603850928,0.0150292464797731
